,To:Fr,S01,S13,S14,S15,S21,S22,S23,S24,S25,S26,S27,S31,S32,S33,S34,S35,S36,S37,S38,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S72,S73,S74,S75,S76,S77,S78,S79,S83,S84,S85,S86,S87,S88,S89,S94,S95,S96,S97,S98,S99
DS,LAF,870,99,275,649,848,492,188,316,662,1023,1386,889,570,351,432,719,1054,1402,1757,1280,962,686,522,578,810,1112,1440,1779,2124,1388,1114,896,782,819,991,1241,1531,1843,2166,1482,1236,1049,957,986,1129,1349,1613,1904,2210,1589,1208,1132,1156,1277,1469,1708,1978,2266,1307,1327,1431,1600,1815,2063,2333,1500,1589,1738,1932,2159,2410
DS,LRO,1445,713,373,232,1470,1117,779,495,402,598,912,1513,1181,876,642,575,723,993,1312,1901,1573,1265,994,801,750,866,1097,1386,1704,1991,1693,1423,1198,1050,1012,1098,1281,1528,1811,2067,1790,1544,1345,1219,1188,1260,1418,1639,1899,2153,1675,1499,1389,1363,1424,1562,1760,1998,1656,1561,1538,1591,1712,1889,2106,1734,1714,1760,1867,2025,2223
DS,MCX,1600,864,590,460,1465,1118,777,463,284,452,764,1425,1074,724,377,108,365,709,1060,1752,1405,1058,710,363,68,350,696,1044,1392,1748,1415,1087,768,482,331,472,755,1073,1402,1766,1448,1139,850,613,507,606,839,1127,1436,1801,1215,958,762,682,757,949,1204,1489,1084,921,858,917,1076,1299,1560,1085,1034,1081,1215,1410,1645
DS,MKO,1274,612,505,631,1104,772,474,330,498,802,1135,1053,707,371,154,400,739,1085,1434,1376,1029,682,334,27,366,714,1061,1408,1755,1379,1048,727,434,286,458,756,1078,1410,1743,1408,1096,804,563,462,581,830,1124,1437,1757,1457,910,712,637,726,932,1194,1484,1787,871,813,882,1053,1284,1549,1833,989,1044,1187,1390,1630,1893
DS,MRE,932,241,343,671,829,467,110,266,629,992,1354,830,479,167,292,635,989,1344,1701,1204,866,550,325,402,687,1017,1358,1704,2052,1277,979,726,581,626,831,1109,1417,1740,2070,1352,1083,868,755,789,955,1199,1481,1785,2099,1444,1021,929,956,1094,1306,1562,1845,2142,1104,1126,1241,1427,1657,1918,2197,1297,1396,1557,1765,2004,2264
DS,PRA,1068,389,373,628,932,581,253,228,549,901,1256,909,553,196,163,520,877,1232,1588,1264,918,579,273,251,549,888,1232,1580,1928,1307,991,704,494,483,680,964,1278,1604,1936,1363,1074,824,659,651,804,1049,1336,1643,1959,1438,961,829,822,945,1155,1413,1698,1998,1000,995,1095,1276,1506,1769,2049,1169,1252,1408,1613,1853,2114
DS,RSW,1841,1075,731,424,1746,1388,1029,672,322,140,444,1723,1368,1012,655,298,83,425,781,2065,1716,1370,1024,684,369,237,475,803,1146,2071,1739,1413,1095,801,568,495,639,901,1206,2093,1775,1466,1173,913,724,670,779,1000,1274,2128,1538,1271,1043,887,845,932,1117,1362,1383,1185,1054,1020,1091,1248,1465,1334,1224,1196,1254,1389,1580
DS,SGE,1214,597,552,717,1027,707,442,381,592,899,1231,967,627,311,218,498,834,1177,1524,1283,936,590,243,106,454,802,1148,1494,1839,1282,951,630,344,270,510,824,1152,1485,1820,1311,1000,711,485,437,611,884,1187,1505,1827,1361,822,643,609,740,971,1246,1543,1850,809,782,885,1080,1326,1600,1888,957,1040,1205,1422,1672,1942
DS,SME,1985,1237,920,651,1854,1507,1163,828,521,337,458,1809,1461,1112,765,426,164,348,681,2125,1780,1435,1088,740,390,45,306,655,1003,2101,1767,1434,1102,777,474,283,410,700,1022,2103,1779,1459,1146,848,592,458,543,780,1071,2118,1504,1213,946,733,633,696,887,1144,1300,1064,886,808,857,1014,1238,1196,1047,984,1023,1153,1348
DS,SNA,1532,760,400,125,1472,1109,744,380,52,361,724,1473,1119,768,436,227,420,749,1099,1838,1493,1155,829,545,403,533,813,1137,1476,1881,1560,1253,975,758,666,749,961,1237,1544,1928,1626,1344,1096,914,842,907,1084,1329,1611,1989,1449,1230,1076,1018,1071,1220,1436,1693,1374,1242,1193,1238,1365,1555,1788,1410,1369,1406,1516,1684,1895
DS,TYE,1152,401,213,450,1064,702,339,45,394,757,1120,1061,707,361,143,413,761,1115,1472,1429,1086,754,456,317,497,804,1138,1482,1829,1484,1172,887,663,580,691,928,1219,1534,1859,1545,1257,1005,820,756,841,1040,1299,1591,1899,1622,1137,982,931,1000,1167,1397,1664,1952,1149,1107,1164,1306,1509,1752,2019,1282,1330,1452,1631,1851,2098
NW,BTT,2696,2051,1822,1629,2461,2184,1921,1681,1475,1321,1238,2354,2071,1799,1547,1325,1156,1064,1068,2550,2255,1966,1685,1421,1183,996,890,895,1009,2422,2123,1828,1536,1254,990,768,631,637,784,2348,2049,1751,1454,1163,882,631,461,470,650,2284,1688,1389,1092,797,518,298,311,541,1344,1045,745,448,164,185,473,1027,732,440,162,183,465
NW,DIM,2673,2018,1780,1577,2446,2162,1891,1642,1425,1261,1172,2343,2053,1773,1512,1280,1099,998,1000,2548,2248,1953,1665,1391,1142,941,825,827,949,2427,2124,1823,1525,1235,959,721,567,571,730,2358,2055,1753,1451,1152,861,593,400,405,604,2299,1697,1394,1091,789,496,245,253,508,1357,1055,752,449,147,159,462,1048,755,467,212,221,480
NW,EUG,3269,2564,2275,1998,3068,2763,2460,2165,1879,1613,1378,2977,2670,2364,2063,1769,1492,1241,1034,3202,2893,2585,2276,1971,1670,1381,1114,885,736,3088,2781,2473,2164,1855,1546,1244,952,684,486,3020,2716,2411,2103,1794,1484,1175,872,579,332,2961,2359,2054,1748,1439,1130,822,513,214,2019,1718,1414,1110,807,504,207,1705,1411,1118,830,552,319
NW,LEW,2961,2301,2053,1831,2732,2450,2177,1920,1687,1490,1346,2627,2340,2061,1795,1549,1338,1180,1099,2824,2529,2238,1953,1677,1419,1192,1017,924,939,2693,2397,2102,1809,1522,1245,991,783,663,682,2616,2320,2024,1729,1436,1148,876,639,491,516,2548,1959,1662,1366,1071,783,516,322,358,1611,1315,1018,722,431,168,227,1287,993,700,407,120,192
NW,PCO,3072,2404,2148,1914,2847,2561,2284,2019,1774,1561,1394,2743,2453,2170,1898,1642,1415,1233,1118,2942,2646,2353,2065,1784,1518,1276,1077,947,917,2811,2515,2219,1925,1635,1352,1088,857,694,655,2734,2438,2142,1846,1551,1260,981,726,532,480,2665,2077,1780,1483,1187,896,618,380,307,1729,1434,1136,839,546,262,142,1403,1110,817,524,233,86
NW,RSP,2334,1647,1392,1184,2133,1827,1532,1261,1032,882,851,2047,1734,1429,1141,889,714,677,798,2293,1972,1654,1340,1037,760,551,503,654,908,2204,1883,1563,1242,923,610,331,248,478,781,2160,1842,1524,1203,882,559,240,105,416,737,2129,1504,1189,874,561,259,149,423,734,1200,902,614,372,308,497,771,961,709,521,479,613,843
NW,TWF,2701,2002,1726,1477,2503,2195,1894,1607,1343,1122,972,2415,2103,1796,1499,1219,976,805,753,2654,2337,2023,1710,1403,1109,843,642,578,691,2556,2240,1924,1607,1291,979,679,418,316,487,2502,2189,1875,1559,1242,924,609,306,145,392,2458,1841,1529,1216,900,586,272,60,364,1518,1214,910,613,341,219,416,1237,953,686,469,393,524
NW,YKM,3167,2496,2236,1996,2943,2657,2377,2110,1859,1637,1456,2839,2549,2265,1990,1730,1495,1299,1162,3037,2742,2449,2160,1879,1608,1360,1148,994,931,2905,2609,2315,2021,1731,1447,1178,937,750,668,2826,2532,2237,1942,1647,1356,1075,813,596,492,2756,2170,1875,1579,1283,992,711,458,317,1822,1527,1231,935,642,355,143,1493,1201,908,616,323,44
SW,BKR,2900,2137,1789,1444,2780,2432,2081,1731,1381,1036,703,2734,2388,2039,1689,1337,987,640,302,3039,2697,2355,2010,1664,1316,968,621,274,92,2993,2661,2328,1994,1660,1326,997,681,407,320,2974,2649,2326,2001,1679,1360,1053,771,551,492,2963,2336,2023,1716,1416,1133,886,709,666,2059,1768,1489,1233,1018,874,840,1836,1578,1348,1162,1043,1015
SW,DOZ,2191,1420,1053,686,2126,1764,1400,1035,669,305,79,2113,1758,1401,1047,697,372,232,480,2463,2114,1768,1424,1086,764,496,404,579,874,2473,2142,1815,1496,1192,921,723,665,780,1010,2495,2176,1865,1566,1288,1049,885,840,931,1126,2527,1930,1651,1399,1189,1052,1016,1090,1256,1750,1521,1338,1221,1191,1253,1395,1653,1492,1392,1366,1419,1542
SW,FSO,2959,2201,1860,1524,2827,2483,2138,1794,1451,1115,796,2774,2432,2087,1742,1395,1052,715,399,3069,2730,2391,2049,1706,1360,1015,671,327,60,3013,2683,2352,2018,1684,1348,1015,688,378,210,2987,2663,2340,2015,1691,1368,1052,752,494,385,2969,2341,2027,1716,1409,1115,848,638,560,2053,1757,1470,1201,966,795,736,1814,1547,1304,1100,958,911
SW,GRU,2337,1611,1315,1053,2170,1841,1518,1207,923,702,615,2102,1770,1440,1117,810,552,439,564,2380,2047,1713,1379,1047,722,423,263,438,740,2317,1988,1658,1326,993,658,324,9,344,678,2290,1967,1644,1319,995,672,365,176,382,691,2275,1647,1334,1026,729,472,352,485,746,1372,1085,821,612,528,621,835,1167,936,766,703,774,948
SW,HUL,6081,5309,4940,4568,6001,5644,5284,4921,4556,4191,3827,5964,5615,5261,4906,4548,4192,3836,3481,6271,5930,5588,5242,4895,4546,4198,3852,3507,3166,6212,5884,5554,5221,4887,4551,4217,3887,3558,3236,6176,5856,5535,5211,4886,4560,4237,3918,3601,3292,6141,5519,5205,4890,4575,4262,3955,3651,3355,5202,4898,4594,4293,3997,3707,3425,4910,4617,4329,4046,3769,3501
SW,LOS,2831,2062,1707,1352,2728,2374,2018,1661,1303,948,599,2690,2340,1987,1633,1276,921,565,209,3007,2663,2318,1970,1622,1273,926,585,270,228,2975,2641,2308,1973,1641,1312,994,702,483,461,2964,2640,2316,1994,1676,1365,1073,818,646,630,2963,2337,2029,1727,1437,1172,952,814,802,2077,1794,1526,1288,1098,985,975,1874,1629,1416,1252,1157,1149
SW,RFE,2199,1490,1216,992,2019,1698,1386,1094,845,688,691,1946,1619,1297,988,710,519,522,715,2217,1885,1555,1226,903,596,357,360,603,909,2150,1821,1493,1162,830,498,170,178,506,837,2121,1798,1475,1150,826,503,202,208,511,833,2106,1478,1165,858,566,338,341,572,864,1205,922,670,499,502,675,928,1013,799,668,670,803,1018
SW,RNE,2985,2246,1926,1616,2824,2493,2164,1838,1519,1215,943,2755,2424,2092,1762,1435,1119,823,582,3024,2695,2365,2033,1701,1369,1042,726,443,310,2946,2622,2297,1969,1639,1308,976,645,314,51,2905,2586,2266,1944,1620,1294,970,647,332,132,2872,2248,1934,1619,1304,994,695,429,306,1939,1636,1337,1048,780,565,482,1671,1390,1126,892,719,657
SW,SCM,3092,2344,2014,1690,2941,2606,2269,1935,1604,1284,984,2877,2542,2206,1869,1533,1203,885,595,3154,2822,2489,2154,1817,1479,1143,812,491,240,3082,2756,2429,2099,1768,1434,1100,767,433,104,3044,2724,2403,2080,1755,1429,1105,786,478,239,3014,2389,2074,1760,1446,1138,842,575,406,2083,1781,1482,1195,928,703,578,1818,1538,1273,1036,849,752
SW,SFC,3150,2396,2060,1727,3008,2668,2327,1988,1650,1319,1003,2948,2610,2269,1929,1587,1249,919,605,3231,2897,2561,2223,1884,1542,1201,862,527,218,3163,2836,2508,2177,1844,1509,1175,841,510,198,3128,2807,2486,2162,1837,1511,1189,872,570,333,3101,2475,2160,1846,1534,1228,935,672,494,2172,1871,1575,1289,1024,800,663,1912,1633,1370,1134,944,834
SW,TCY,3083,2330,1995,1665,2940,2601,2261,1922,1585,1257,947,2880,2542,2202,1862,1521,1185,857,552,3164,2829,2494,2155,1816,1475,1134,797,464,179,3097,2769,2441,2109,1777,1442,1107,774,443,144,3063,2742,2420,2096,1771,1445,1123,808,511,300,3037,2410,2096,1782,1470,1165,876,622,471,2109,1809,1513,1230,971,758,644,1852,1575,1316,1086,908,818
